Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
1-Feb-21,EQ,4064.00,4141.00,3975.05,4005.80,4134.00,4114.70,4062.37,4236.65,1788.65,745011,"3,026,509,211.05",52946
29-Jan-21,EQ,4168.00,4205.35,3990.00,4135.80,4023.00,4005.80,4096.45,4236.65,1788.65,1406268,"5,760,706,271.85",82243
28-Jan-21,EQ,4080.00,4190.00,4076.60,4146.35,4150.00,4135.80,4150.61,4236.65,1788.65,1262871,"5,241,684,012.70",69278
27-Jan-21,EQ,4133.40,4236.65,4108.10,4168.95,4130.00,4146.35,4178.57,4236.65,1788.65,2062088,"8,616,570,910.55",116044
25-Jan-21,EQ,4150.00,4210.00,4060.00,4089.50,4165.00,4168.95,4143.63,4210.00,1788.65,2368224,"9,813,036,230.45",138219
22-Jan-21,EQ,3749.95,4130.00,3740.05,3703.30,4119.25,4089.50,4025.43,4130.00,1788.65,8537143,"34,365,651,303.05",398043
21-Jan-21,EQ,3672.00,3807.00,3655.20,3643.95,3727.35,3703.30,3734.71,3807.00,1788.65,1533886,"5,728,625,996.85",90861
20-Jan-21,EQ,3640.00,3692.80,3629.35,3641.00,3640.00,3643.95,3663.57,3692.80,1788.65,549040,"2,011,448,867.55",34622
19-Jan-21,EQ,3565.75,3664.00,3561.10,3563.75,3629.00,3641.00,3627.65,3664.00,1788.65,586410,"2,127,291,083.25",34510
18-Jan-21,EQ,3552.00,3618.05,3505.00,3580.30,3565.00,3563.75,3561.64,3658.65,1788.65,602004,"2,144,121,113.75",40673
15-Jan-21,EQ,3588.00,3623.00,3541.00,3576.05,3581.00,3580.30,3590.29,3658.65,1788.65,684649,"2,458,087,402.55",38112
14-Jan-21,EQ,3600.00,3658.65,3545.00,3600.90,3572.15,3576.05,3595.75,3658.65,1788.65,743848,"2,674,693,466.85",39881
13-Jan-21,EQ,3624.25,3633.00,3577.00,3624.25,3600.00,3600.90,3602.58,3642.80,1788.65,515154,"1,855,883,614.75",34729
12-Jan-21,EQ,3611.95,3642.80,3558.10,3617.35,3607.30,3624.25,3609.95,3642.80,1788.65,863270,"3,116,358,005.40",59466
11-Jan-21,EQ,3531.00,3634.55,3521.00,3529.15,3624.40,3617.35,3571.60,3634.55,1788.65,788461,"2,816,064,374.15",46374
8-Jan-21,EQ,3469.00,3544.60,3438.05,3437.95,3527.55,3529.15,3501.36,3544.60,1788.65,675643,"2,365,669,131.30",42080
7-Jan-21,EQ,3500.00,3507.35,3428.25,3462.70,3444.00,3437.95,3457.25,3528.00,1788.65,531361,"1,837,050,067.55",30706
6-Jan-21,EQ,3492.65,3527.00,3435.90,3492.65,3462.35,3462.70,3491.80,3528.00,1788.65,591620,"2,065,819,356.50",43881
5-Jan-21,EQ,3500.25,3505.00,3475.00,3522.45,3490.20,3492.65,3487.45,3528.00,1788.65,561562,"1,958,419,456.75",36281
4-Jan-21,EQ,3490.00,3528.00,3465.00,3481.25,3515.00,3522.45,3499.93,3528.00,1788.65,647829,"2,267,353,540.55",37592
1-Jan-21,EQ,3446.00,3494.00,3446.00,3444.05,3479.00,3481.25,3468.09,3494.00,1788.65,421643,"1,462,293,995.70",23426
31-Dec-20,EQ,3464.95,3464.95,3426.85,3448.15,3435.00,3444.05,3445.95,3472.85,1788.65,410959,"1,416,146,156.35",30828
30-Dec-20,EQ,3437.20,3472.85,3405.25,3431.55,3445.10,3448.15,3447.74,3472.85,1788.65,639180,"2,203,725,390.35",39108
29-Dec-20,EQ,3433.00,3459.90,3420.05,3414.70,3434.50,3431.55,3437.64,3459.90,1788.65,682613,"2,346,578,418.70",41359
28-Dec-20,EQ,3388.00,3422.00,3374.00,3374.75,3420.00,3414.70,3406.20,3423.55,1788.65,536954,"1,828,975,151.10",32976
