Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
1-Feb-21,EQ,919.00,933.75,896.35,914.00,932.10,928.35,915.30,1067.00,375.25,8651478,"7,918,681,533.35",208551
29-Jan-21,EQ,941.00,949.50,909.50,933.95,914.50,914.00,927.73,1067.00,375.25,7692663,"7,136,714,192.85",160581
28-Jan-21,EQ,948.80,952.40,930.10,955.50,932.00,933.95,941.03,1067.00,375.25,6960905,"6,550,446,434.55",191909
27-Jan-21,EQ,952.10,963.25,942.50,947.50,957.40,955.50,955.55,1067.00,375.25,7531736,"7,196,966,517.55",247705
25-Jan-21,EQ,997.00,997.00,941.00,985.80,948.00,947.50,966.54,1067.00,375.25,7731883,"7,473,144,666.95",325690
22-Jan-21,EQ,991.70,1004.00,981.40,993.30,985.95,985.80,990.00,1067.00,375.25,5379466,"5,325,689,212.60",182218
21-Jan-21,EQ,1009.00,1020.00,982.95,999.25,991.50,993.30,1003.92,1067.00,375.25,8857975,"8,892,726,373.60",185089
20-Jan-21,EQ,991.75,1009.65,987.55,983.85,997.50,999.25,1001.18,1067.00,375.25,7444118,"7,452,887,783.00",153672
19-Jan-21,EQ,988.00,997.00,979.35,981.50,987.00,983.85,985.98,1067.00,375.25,6387923,"6,298,346,813.15",168528
18-Jan-21,EQ,1000.00,1004.95,976.90,989.80,978.10,981.50,990.09,1067.00,375.25,12947569,"12,819,240,554.90",256612
15-Jan-21,EQ,1047.65,1052.85,984.00,1027.70,989.00,989.80,1009.81,1067.00,375.25,23769415,"24,002,697,489.25",463474
14-Jan-21,EQ,1049.00,1049.00,1006.60,1055.95,1031.00,1027.70,1026.49,1067.00,375.25,15021108,"15,419,088,647.25",349280
13-Jan-21,EQ,1064.00,1067.00,1041.00,1062.10,1057.00,1055.95,1054.37,1067.00,375.25,6691409,"7,055,244,429.80",139957
12-Jan-21,EQ,1052.00,1065.05,1038.70,1055.10,1064.00,1062.10,1049.24,1065.05,375.25,6700542,"7,030,502,202.05",183794
11-Jan-21,EQ,1015.00,1059.05,1008.00,994.65,1053.25,1055.10,1033.95,1059.05,375.25,13384331,"13,838,751,594.30",259727
8-Jan-21,EQ,974.90,1003.50,970.00,962.55,994.15,994.65,986.68,1003.50,375.25,8034775,"7,927,736,978.75",112810
7-Jan-21,EQ,988.00,988.20,959.40,978.20,963.90,962.55,969.71,998.00,375.25,5261000,"5,101,642,454.65",104038
6-Jan-21,EQ,997.90,998.00,966.10,991.35,976.00,978.20,984.98,998.00,375.25,5995748,"5,905,668,068.15",142578
5-Jan-21,EQ,967.20,995.80,967.20,980.40,992.50,991.35,985.02,995.80,375.25,7150252,"7,043,170,176.50",121058
4-Jan-21,EQ,959.00,984.70,952.65,950.50,978.30,980.40,968.71,984.70,375.25,5259092,"5,094,523,210.90",96212
1-Jan-21,EQ,942.00,955.50,942.00,946.15,950.25,950.50,950.65,955.50,375.25,3142822,"2,987,712,518.10",52922
31-Dec-20,EQ,939.05,949.85,935.00,940.70,946.40,946.15,942.19,950.00,375.25,3468390,"3,267,889,419.30",63219
30-Dec-20,EQ,938.00,950.00,931.00,935.90,941.15,940.70,940.88,950.00,375.25,6382809,"6,005,437,042.05",129019
29-Dec-20,EQ,929.00,945.00,925.25,921.80,936.00,935.90,936.61,945.00,375.25,6760167,"6,331,637,870.85",121535
28-Dec-20,EQ,925.00,927.50,913.50,919.35,922.70,921.80,921.16,935.00,375.25,3884750,"3,578,479,998.20",88769
24-Dec-20,EQ,927.95,928.25,910.70,922.60,917.00,919.35,919.19,935.00,375.25,4390561,"4,035,768,678.40",85401
23-Dec-20,EQ,920.00,935.00,914.80,913.80,921.90,922.60,925.27,935.00,375.25,10723068,"9,921,735,580.65",176400
22-Dec-20,EQ,879.15,919.25,872.00,870.45,917.00,913.80,892.93,919.25,375.25,10251896,"9,154,186,077.65",196248
21-Dec-20,EQ,886.65,910.50,850.00,890.65,872.00,870.45,892.43,910.70,375.25,8875855,"7,921,082,596.25",201257
18-Dec-20,EQ,894.75,905.00,886.65,879.35,890.35,890.65,897.36,910.70,375.25,11568187,"10,380,782,845.00",196000
17-Dec-20,EQ,887.00,887.00,877.00,885.05,878.00,879.35,882.14,910.70,375.25,4863371,"4,290,169,955.00",133920
16-Dec-20,EQ,886.25,892.00,878.45,886.00,882.00,885.05,883.95,910.70,375.25,4378179,"3,870,092,023.85",105667
