Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
1-Feb-21,EQ,753.00,808.85,741.55,749.60,795.90,795.15,783.02,843.85,245.40,6592083,"5,161,706,513.85",117679
29-Jan-21,EQ,772.55,799.95,746.00,765.00,753.00,749.60,773.41,843.85,245.40,8761073,"6,775,910,947.30",141358
28-Jan-21,EQ,758.00,778.10,756.10,769.95,764.85,765.00,765.25,843.85,245.40,4622634,"3,537,492,428.35",137863
27-Jan-21,EQ,797.00,817.00,763.40,794.55,765.15,769.95,794.22,843.85,245.40,6585102,"5,230,010,892.80",143137
25-Jan-21,EQ,802.10,812.95,784.25,798.40,795.95,794.55,795.27,843.85,245.40,3353172,"2,666,679,504.65",80262
22-Jan-21,EQ,808.00,826.70,795.00,808.25,798.00,798.40,810.65,843.85,245.40,5588252,"4,530,140,883.30",104048
21-Jan-21,EQ,823.00,835.00,800.30,824.50,811.95,808.25,824.06,843.85,245.40,4455107,"3,671,266,765.60",103684
20-Jan-21,EQ,807.00,831.95,802.00,808.05,822.00,824.50,819.32,843.85,245.40,4502291,"3,688,836,676.25",98933
19-Jan-21,EQ,810.00,819.60,801.55,809.00,808.60,808.05,809.88,843.85,245.40,3991167,"3,232,380,794.05",73501
18-Jan-21,EQ,817.90,820.80,797.15,819.65,800.05,809.00,810.89,843.85,245.40,3955069,"3,207,124,927.05",76032
15-Jan-21,EQ,828.00,838.00,815.35,829.90,820.30,819.65,824.33,843.85,245.40,4996951,"4,119,120,367.35",102732
14-Jan-21,EQ,828.90,843.85,827.35,828.35,829.40,829.90,833.55,843.85,245.40,8576718,"7,149,090,097.70",123976
13-Jan-21,EQ,784.60,837.50,782.25,779.85,824.00,828.35,820.15,837.50,245.40,19610461,"16,083,512,888.40",267325
12-Jan-21,EQ,789.95,796.75,777.40,789.10,779.30,779.85,785.66,796.75,245.40,5532160,"4,346,394,140.20",94202
11-Jan-21,EQ,773.05,791.40,763.20,770.50,788.30,789.10,780.01,791.40,245.40,6643610,"5,182,069,815.05",110656
8-Jan-21,EQ,750.00,772.80,745.00,744.40,767.00,770.50,763.38,772.80,245.40,5998381,"4,579,046,016.05",124731
7-Jan-21,EQ,743.00,755.00,740.10,736.10,744.00,744.40,748.05,764.45,245.40,4063641,"3,039,798,279.85",82407
6-Jan-21,EQ,741.00,746.45,730.45,740.10,733.00,736.10,739.57,764.45,245.40,3601608,"2,663,645,626.95",86314
5-Jan-21,EQ,748.00,748.00,730.00,749.10,739.00,740.10,736.81,764.45,245.40,3551554,"2,616,817,598.80",89301
4-Jan-21,EQ,735.00,751.00,727.25,732.45,749.00,749.10,739.26,764.45,245.40,4547027,"3,361,430,289.35",75632
1-Jan-21,EQ,725.00,744.75,723.00,720.60,731.80,732.45,737.58,764.45,245.40,9543128,"7,038,851,416.55",141701
31-Dec-20,EQ,719.75,725.55,713.50,720.70,721.05,720.60,719.82,764.45,245.40,3723205,"2,680,047,147.95",85033
30-Dec-20,EQ,710.00,724.30,704.35,707.05,719.00,720.70,713.82,764.45,245.40,3219036,"2,297,803,036.95",63378
29-Dec-20,EQ,714.50,717.00,704.00,710.95,706.90,707.05,707.96,764.45,245.40,2808820,"1,988,519,789.35",74287
28-Dec-20,EQ,715.40,718.80,707.30,710.90,710.70,710.95,712.04,764.45,245.40,2484872,"1,769,327,134.30",47547
24-Dec-20,EQ,712.50,722.55,700.10,711.50,711.00,710.90,709.89,764.45,245.40,3373695,"2,394,937,482.00",68218
23-Dec-20,EQ,693.00,715.00,688.25,695.05,712.00,711.50,708.38,764.45,245.40,4383472,"3,105,183,699.20",85168
22-Dec-20,EQ,688.80,699.35,667.30,685.95,697.70,695.05,687.09,764.45,245.40,7305751,"5,019,705,597.45",170349
21-Dec-20,EQ,729.00,730.00,660.25,733.60,680.40,685.95,698.79,764.45,245.40,9130116,"6,380,026,707.65",148947
18-Dec-20,EQ,726.10,737.95,722.55,730.65,734.00,733.60,732.69,764.45,245.40,6671658,"4,888,233,465.50",73831
17-Dec-20,EQ,735.10,738.45,725.35,731.95,727.90,730.65,730.61,764.45,245.40,3630553,"2,652,532,448.05",61575
16-Dec-20,EQ,737.10,746.25,726.20,717.95,731.45,731.95,736.83,764.45,245.40,11262389,"8,298,436,457.90",169513
15-Dec-20,EQ,710.00,720.00,701.00,711.70,717.40,717.95,713.19,764.45,245.40,5495877,"3,919,625,663.65",102963
