Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
1-Feb-21,EQ,912.00,926.95,889.00,905.25,923.75,921.45,907.55,1023.70,288.85,2096640,"1,902,811,378.90",61110
29-Jan-21,EQ,950.00,954.70,900.45,944.50,907.00,905.25,926.53,1023.70,288.85,3208278,"2,972,575,091.70",67855
28-Jan-21,EQ,941.30,955.00,926.25,959.60,948.45,944.50,942.22,1023.70,288.85,3202739,"3,017,696,581.05",65726
27-Jan-21,EQ,998.60,1000.00,948.25,998.60,952.05,959.60,964.62,1023.70,288.85,4705789,"4,539,278,243.80",105042
25-Jan-21,EQ,935.00,1023.70,932.00,923.80,996.50,998.60,987.05,1023.70,288.85,14754225,"14,563,158,937.65",256052
22-Jan-21,EQ,904.75,948.00,880.15,902.25,926.95,923.80,918.03,996.85,288.85,4868823,"4,469,719,738.45",111200
21-Jan-21,EQ,935.00,938.00,897.50,930.00,903.00,902.25,918.73,996.85,288.85,2019465,"1,855,335,649.90",37709
20-Jan-21,EQ,926.20,942.00,923.70,924.25,929.80,930.00,933.80,996.85,288.85,1995884,"1,863,750,894.65",36174
19-Jan-21,EQ,921.40,931.40,918.20,917.30,928.00,924.25,923.94,996.85,288.85,1408821,"1,301,660,605.55",24094
18-Jan-21,EQ,933.80,937.90,900.50,936.00,910.35,917.30,917.62,996.85,288.85,2669315,"2,449,404,218.15",50437
15-Jan-21,EQ,950.55,955.00,924.30,959.25,933.90,936.00,940.28,996.85,288.85,3931585,"3,696,801,615.90",83558
14-Jan-21,EQ,941.00,968.75,928.85,947.20,958.55,959.25,949.10,996.85,288.85,2058721,"1,953,935,098.60",45397
13-Jan-21,EQ,960.20,974.90,928.35,958.25,940.55,947.20,954.14,996.85,288.85,2998390,"2,860,869,049.50",56881
12-Jan-21,EQ,969.50,975.00,952.70,965.20,960.00,958.25,963.26,996.85,288.85,2219387,"2,137,843,872.45",41913
11-Jan-21,EQ,950.20,967.00,940.15,945.45,966.00,965.20,957.29,996.85,288.85,2676919,"2,562,598,721.05",61429
8-Jan-21,EQ,957.00,967.00,940.60,957.45,946.25,945.45,952.65,996.85,288.85,2685467,"2,558,298,330.30",52721
7-Jan-21,EQ,970.70,977.55,954.50,968.85,959.50,957.45,962.04,996.85,288.85,1797121,"1,728,904,884.80",40923
6-Jan-21,EQ,979.90,983.60,954.45,979.35,966.40,968.85,969.49,996.85,288.85,2720088,"2,637,087,756.75",44262
5-Jan-21,EQ,966.00,996.85,961.00,965.75,978.00,979.35,981.27,996.85,288.85,5432632,"5,330,869,469.80",87621
4-Jan-21,EQ,936.10,970.00,926.65,927.75,967.50,965.75,949.75,970.00,288.85,4065761,"3,861,445,259.15",76440
1-Jan-21,EQ,923.70,934.70,914.05,921.30,928.80,927.75,926.36,967.50,288.85,2510737,"2,325,842,434.95",56024
31-Dec-20,EQ,907.85,943.50,904.15,906.75,920.00,921.30,928.35,967.50,288.85,8627443,"8,009,303,426.85",148249
30-Dec-20,EQ,906.00,909.00,892.15,905.05,907.85,906.75,899.92,967.50,288.85,1667050,"1,500,218,470.70",35390
29-Dec-20,EQ,912.90,919.35,896.25,908.35,899.85,905.05,908.97,967.50,288.85,1920734,"1,745,880,044.05",58659
28-Dec-20,EQ,919.80,921.00,904.00,909.00,908.65,908.35,910.54,967.50,288.85,3136265,"2,855,703,896.20",67561
