Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
1-Feb-21,EQ,815.00,831.00,779.95,825.90,805.95,806.40,812.75,864.60,355.30,13856367,"11,261,783,138.50",202806
29-Jan-21,EQ,847.95,850.85,820.75,841.90,828.00,825.90,835.27,864.60,355.30,7185812,"6,002,117,718.60",127245
28-Jan-21,EQ,835.50,848.85,825.70,842.50,840.30,841.90,839.27,864.60,355.30,4489853,"3,768,212,473.60",84347
27-Jan-21,EQ,839.90,856.45,825.20,836.80,839.70,842.50,843.08,864.60,355.30,7410174,"6,247,389,509.85",133350
25-Jan-21,EQ,813.00,857.00,808.25,808.30,839.00,836.80,839.30,864.60,355.30,10704200,"8,984,052,307.35",168368
22-Jan-21,EQ,815.80,822.50,798.25,812.75,808.90,808.30,811.56,864.60,355.30,3883231,"3,151,475,334.35",83297
21-Jan-21,EQ,835.00,839.30,809.00,832.80,817.65,812.75,825.72,864.60,355.30,3326213,"2,746,528,293.65",70380
20-Jan-21,EQ,822.50,834.90,822.30,822.45,832.85,832.80,828.51,864.60,355.30,3056546,"2,532,392,573.95",60544
19-Jan-21,EQ,802.50,825.40,802.50,801.75,825.00,822.45,815.77,864.60,355.30,3791378,"3,092,880,549.00",76171
18-Jan-21,EQ,822.00,826.65,796.20,823.70,798.90,801.75,807.82,864.60,355.30,3742440,"3,023,231,872.90",63341
15-Jan-21,EQ,839.00,844.90,821.00,840.90,824.45,823.70,830.46,864.60,355.30,3137877,"2,605,875,426.85",57322
14-Jan-21,EQ,841.70,847.55,829.00,841.70,839.25,840.90,837.22,864.60,355.30,3652930,"3,058,293,399.35",56889
13-Jan-21,EQ,847.35,852.00,832.50,843.15,840.90,841.70,843.39,864.60,355.30,3596529,"3,033,266,616.95",58977
12-Jan-21,EQ,860.00,864.60,841.00,856.85,844.00,843.15,852.29,864.60,355.30,4338010,"3,697,257,149.80",78904
11-Jan-21,EQ,839.00,860.00,832.75,838.70,859.00,856.85,848.45,860.00,355.30,5332109,"4,524,003,157.30",110720
8-Jan-21,EQ,830.70,846.20,827.40,826.55,836.20,838.70,838.26,846.20,355.30,5072916,"4,252,438,018.80",125099
7-Jan-21,EQ,830.00,830.45,818.00,824.80,829.40,826.55,824.16,843.75,355.30,2879675,"2,373,308,391.50",60348
6-Jan-21,EQ,829.00,834.40,815.25,827.25,825.00,824.80,826.60,843.75,355.30,3318460,"2,743,047,281.35",59438
5-Jan-21,EQ,832.25,843.75,825.30,832.25,827.75,827.25,831.58,843.75,355.30,4559213,"3,791,349,413.30",64786
4-Jan-21,EQ,831.00,837.30,826.55,826.60,831.50,832.25,832.26,839.00,355.30,3487801,"2,902,752,557.80",60915
1-Jan-21,EQ,822.80,828.95,820.65,819.95,827.30,826.60,826.17,839.00,355.30,2474916,"2,044,692,332.90",44615
31-Dec-20,EQ,824.00,833.35,816.40,823.80,818.90,819.95,824.20,839.00,355.30,4842886,"3,991,520,661.45",72167
30-Dec-20,EQ,830.00,830.00,816.05,827.95,823.40,823.80,821.25,839.00,355.30,2715404,"2,230,021,015.35",49155
29-Dec-20,EQ,830.15,835.75,817.50,830.15,825.15,827.95,826.62,839.00,355.30,3311293,"2,737,184,583.20",65253
28-Dec-20,EQ,837.60,839.00,825.20,833.20,829.95,830.15,833.16,839.00,355.30,4810932,"4,008,260,788.65",81422
24-Dec-20,EQ,828.80,834.90,815.30,824.65,834.65,833.20,825.58,834.90,355.30,7294578,"6,022,224,914.00",111654
23-Dec-20,EQ,796.35,827.00,792.25,795.00,824.90,824.65,813.93,829.05,355.30,8520251,"6,934,873,099.95",129663
22-Dec-20,EQ,782.00,798.00,761.10,778.50,796.20,795.00,780.67,829.05,355.30,6139589,"4,793,005,985.55",119233
21-Dec-20,EQ,793.00,816.90,760.00,793.45,778.00,778.50,799.68,829.05,355.30,14465355,"11,567,698,357.95",204383
18-Dec-20,EQ,784.25,796.00,781.50,783.20,795.15,793.45,790.65,829.05,355.30,6487014,"5,128,965,382.25",89706
17-Dec-20,EQ,790.75,794.85,781.10,786.80,783.15,783.20,787.84,829.05,355.30,3984988,"3,139,547,407.55",70511
16-Dec-20,EQ,790.35,790.35,782.30,781.65,787.70,786.80,786.00,829.05,355.30,3817724,"3,000,720,156.50",63525
15-Dec-20,EQ,789.30,798.00,779.25,789.30,780.75,781.65,788.72,829.05,355.30,8249684,"6,506,727,911.05",120051
14-Dec-20,EQ,778.30,793.30,776.35,755.85,786.90,789.30,786.05,829.05,355.30,19785595,"15,552,565,167.60",309241
11-Dec-20,EQ,764.00,766.10,753.00,762.75,756.00,755.85,759.26,829.05,355.30,3178041,"2,412,966,661.85",58203
10-Dec-20,EQ,763.00,767.70,755.10,762.40,762.10,762.75,762.16,829.05,355.30,3679209,"2,804,162,419.40",90764
9-Dec-20,EQ,769.90,773.90,759.95,766.00,762.95,762.40,766.38,829.05,355.30,4045201,"3,100,168,253.10",105550
8-Dec-20,EQ,777.00,779.45,757.80,773.15,766.70,766.00,768.05,829.05,355.30,4166424,"3,200,009,732.95",72627
7-Dec-20,EQ,766.95,782.50,766.00,766.95,773.30,773.15,774.87,829.05,355.30,6779545,"5,253,255,591.80",106743
4-Dec-20,EQ,763.00,770.60,757.00,762.15,766.65,766.95,764.63,829.05,355.30,5423289,"4,146,787,257.10",84635
3-Dec-20,EQ,760.00,764.80,756.05,758.35,761.50,762.15,760.93,829.05,355.30,3765555,"2,865,336,641.90",65501
2-Dec-20,EQ,758.00,761.00,751.15,755.60,757.50,758.35,756.31,829.05,355.30,3983393,"3,012,690,459.65",60438
1-Dec-20,EQ,753.00,760.00,746.15,745.60,756.50,755.60,753.95,829.05,355.30,6241872,"4,706,032,015.30",146074
27-Nov-20,EQ,741.00,749.00,735.00,738.70,742.00,745.60,744.81,829.05,355.30,12777697,"9,516,941,317.75",124338
26-Nov-20,EQ,734.00,741.00,726.50,731.65,740.75,738.70,733.54,829.05,355.30,6088729,"4,466,317,521.90",92652
25-Nov-20,EQ,750.10,754.55,728.20,748.45,732.75,731.65,740.77,829.05,355.30,6060158,"4,489,164,613.25",100222
24-Nov-20,EQ,748.30,752.00,741.60,746.30,749.20,748.45,747.66,829.05,355.30,5471533,"4,090,847,612.90",84640
23-Nov-20,EQ,741.65,758.05,739.40,739.90,746.30,746.30,750.65,829.05,355.30,8690680,"6,523,626,753.55",133146
20-Nov-20,EQ,742.00,748.45,732.25,742.10,740.40,739.90,739.33,829.05,355.30,5394676,"3,988,431,647.85",92352
19-Nov-20,EQ,742.55,751.90,737.95,742.95,742.00,742.10,744.21,829.05,355.30,5804230,"4,319,594,117.25",93763
18-Nov-20,EQ,747.30,752.00,733.50,742.55,744.80,742.95,741.04,829.05,355.30,7190828,"5,328,724,671.60",107601
