Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
1-Feb-21,EQ,4560.05,4577.65,4393.05,4602.70,4434.30,4428.15,4434.05,5512.65,2495.05,2590340,"11,485,705,975.90",191794
29-Jan-21,EQ,4890.00,4915.00,4550.00,4871.80,4613.55,4602.70,4705.70,5512.65,2495.05,2964195,"13,948,599,177.10",190160
28-Jan-21,EQ,4845.00,4903.95,4777.00,4909.30,4841.00,4871.80,4847.21,5512.65,2495.05,1033094,"5,007,620,326.15",90306
27-Jan-21,EQ,5052.40,5052.40,4832.80,5082.40,4902.00,4909.30,4939.64,5512.65,2495.05,1052396,"5,198,453,350.65",115152
25-Jan-21,EQ,5042.00,5128.40,4960.00,5036.90,5080.00,5082.40,5057.41,5512.65,2495.05,717779,"3,630,105,543.05",55583
22-Jan-21,EQ,5048.75,5105.35,4985.00,5052.20,5037.75,5036.90,5040.30,5512.65,2495.05,763122,"3,846,361,644.80",60162
21-Jan-21,EQ,5110.00,5138.00,5033.90,5080.65,5068.95,5052.20,5088.12,5512.65,2495.05,581324,"2,957,847,227.30",49087
20-Jan-21,EQ,5102.30,5159.75,5065.05,5088.90,5084.90,5080.65,5105.19,5512.65,2495.05,679629,"3,469,637,769.05",52744
19-Jan-21,EQ,5088.00,5104.95,5036.55,5052.10,5085.30,5088.90,5066.72,5512.65,2495.05,798099,"4,043,747,241.95",49824
18-Jan-21,EQ,5231.00,5237.95,5035.00,5212.80,5046.90,5052.10,5100.04,5512.65,2495.05,882411,"4,500,332,364.95",68064
15-Jan-21,EQ,5315.00,5315.00,5195.60,5308.90,5212.10,5212.80,5240.23,5512.65,2495.05,515521,"2,701,448,136.40",36886
14-Jan-21,EQ,5304.90,5328.00,5265.00,5290.00,5317.60,5308.90,5298.07,5512.65,2495.05,534972,"2,834,317,569.70",37494
13-Jan-21,EQ,5365.00,5375.00,5238.00,5353.85,5280.00,5290.00,5299.45,5512.65,2495.05,659212,"3,493,457,937.85",46935
12-Jan-21,EQ,5440.95,5443.50,5329.45,5416.80,5355.00,5353.85,5377.36,5512.65,2495.05,748372,"4,024,266,847.20",47291
11-Jan-21,EQ,5344.00,5427.00,5326.00,5338.25,5413.00,5416.80,5396.87,5512.65,2495.05,919847,"4,964,296,017.95",66763
8-Jan-21,EQ,5299.90,5360.00,5279.00,5270.90,5345.00,5338.25,5332.08,5512.65,2495.05,809183,"4,314,627,572.95",45991
7-Jan-21,EQ,5301.00,5325.00,5253.00,5288.30,5285.25,5270.90,5281.31,5512.65,2495.05,653293,"3,450,243,671.55",43994
6-Jan-21,EQ,5286.90,5315.00,5226.00,5286.90,5282.00,5288.30,5274.10,5512.65,2495.05,542678,"2,862,136,617.85",44072
5-Jan-21,EQ,5240.00,5337.00,5226.95,5272.25,5284.65,5286.90,5291.43,5512.65,2495.05,954184,"5,048,997,344.30",57418
4-Jan-21,EQ,5260.00,5308.35,5241.35,5241.35,5268.60,5272.25,5277.41,5512.65,2495.05,784688,"4,141,119,113.65",50183
1-Jan-21,EQ,5217.25,5254.85,5200.00,5205.10,5233.00,5241.35,5232.78,5512.65,2495.05,583043,"3,050,933,889.25",34946
31-Dec-20,EQ,5190.00,5253.75,5161.00,5170.95,5214.00,5205.10,5208.41,5512.65,2495.05,1207238,"6,287,792,726.95",67624
30-Dec-20,EQ,5191.45,5191.45,5142.50,5165.60,5165.00,5170.95,5162.52,5512.65,2495.05,475269,"2,453,587,389.20",32851
29-Dec-20,EQ,5225.00,5269.00,5145.60,5201.80,5155.00,5165.60,5198.60,5512.65,2495.05,882433,"4,587,418,828.50",69669
28-Dec-20,EQ,5228.15,5235.00,5187.00,5201.80,5198.00,5201.80,5214.54,5512.65,2495.05,411173,"2,144,076,747.90",27717
24-Dec-20,EQ,5247.00,5247.00,5165.00,5224.10,5203.95,5201.80,5198.04,5512.65,2495.05,675636,"3,511,984,134.45",51937
23-Dec-20,EQ,5161.45,5238.70,5131.25,5161.80,5217.90,5224.10,5192.16,5512.65,2495.05,812470,"4,218,475,764.25",52903
22-Dec-20,EQ,5107.70,5175.00,4936.35,5068.55,5150.00,5161.80,5084.74,5512.65,2495.05,1552824,"7,895,713,795.60",113483
21-Dec-20,EQ,5243.00,5274.20,4962.05,5228.75,5061.00,5068.55,5172.03,5512.65,2495.05,1812257,"9,373,040,723.65",127585
18-Dec-20,EQ,5080.00,5262.85,5078.15,5072.85,5243.00,5228.75,5197.14,5512.65,2495.05,3705133,"19,256,108,513.85",126944
17-Dec-20,EQ,5050.00,5134.50,5030.00,5038.95,5074.45,5072.85,5096.16,5512.65,2495.05,1360601,"6,933,835,693.75",74620
16-Dec-20,EQ,5050.00,5051.75,5006.00,5031.35,5045.00,5038.95,5028.99,5512.65,2495.05,832456,"4,186,409,015.45",53788
15-Dec-20,EQ,5046.95,5076.00,5010.20,5022.80,5026.00,5031.35,5040.94,5512.65,2495.05,1005104,"5,066,672,700.95",61344
14-Dec-20,EQ,4952.00,5054.00,4952.00,5016.95,5024.00,5022.80,5019.53,5512.65,2495.05,1183625,"5,941,239,317.55",78817
11-Dec-20,EQ,5055.10,5084.05,4984.80,5053.10,5013.00,5016.95,5032.92,5512.65,2495.05,767963,"3,865,098,016.20",43289
10-Dec-20,EQ,5058.00,5086.40,5015.00,5056.90,5050.00,5053.10,5054.79,5512.65,2495.05,948294,"4,793,423,023.00",59720
9-Dec-20,EQ,5025.00,5100.00,5025.00,5015.20,5058.00,5056.90,5062.83,5512.65,2495.05,1353498,"6,852,525,576.90",85686
8-Dec-20,EQ,5050.00,5080.00,4955.90,5029.10,5011.00,5015.20,5028.04,5512.65,2495.05,1327701,"6,675,738,681.80",83715
7-Dec-20,EQ,4930.00,5074.00,4905.10,4908.55,5028.45,5029.10,5016.86,5512.65,2495.05,2405904,"12,070,078,324.20",126157
4-Dec-20,EQ,4940.00,4960.55,4862.10,4923.05,4914.00,4908.55,4908.82,5512.65,2495.05,1399682,"6,870,781,384.25",74301
3-Dec-20,EQ,4870.00,4939.00,4842.60,4850.25,4939.00,4923.05,4887.00,5512.65,2495.05,1034893,"5,057,525,032.25",66504
2-Dec-20,EQ,4852.10,4889.00,4811.00,4830.40,4848.35,4850.25,4847.29,5512.65,2495.05,1223452,"5,930,422,510.15",76193
1-Dec-20,EQ,4870.00,4870.00,4806.00,4828.95,4835.10,4830.40,4835.73,5512.65,2495.05,1117190,"5,402,426,138.20",80383
27-Nov-20,EQ,4901.00,4935.55,4809.20,4901.35,4826.00,4828.95,4866.15,5512.65,2495.05,2003738,"9,750,489,075.25",99080
26-Nov-20,EQ,4810.00,4929.30,4773.80,4806.30,4905.00,4901.35,4842.75,5512.65,2495.05,1667235,"8,074,000,301.55",88306
25-Nov-20,EQ,4998.00,5017.00,4781.00,4915.50,4803.00,4806.30,4903.52,5512.65,2495.05,2659116,"13,039,024,672.65",156963
24-Nov-20,EQ,4850.00,4940.00,4785.80,4828.75,4934.10,4915.50,4871.51,5512.65,2495.05,1922298,"9,364,490,471.70",115067
