"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Feb-2021","EQ","269.75","282.00","255.35","262.70","280.30","279.60","269.60","306.90","63.50",165655500,"44,660,633,817.45",797774
"29-Jan-2021","EQ","273.00","278.80","260.60","266.80","262.35","262.70","270.74","306.90","63.50",138442348,"37,481,389,731.10",588270
"28-Jan-2021","EQ","260.05","273.40","259.05","267.50","266.00","266.80","266.80","306.90","63.50",129156876,"34,459,498,740.45",543019
"27-Jan-2021","EQ","274.90","275.00","265.70","279.15","266.75","267.50","269.62","306.90","63.50",126586833,"34,130,526,615.40",577227
"25-Jan-2021","EQ","296.90","299.50","277.35","289.35","278.70","279.15","284.75","306.90","63.50",164346913,"46,797,325,645.85",726552
"22-Jan-2021","EQ","295.95","306.90","278.35","290.60","290.85","289.35","296.37","306.90","63.50",316008609,"93,656,707,364.20",1318669
"21-Jan-2021","EQ","281.00","299.00","280.00","274.90","292.45","290.60","291.38","299.00","63.50",283614463,"82,638,647,239.00",1124524
"20-Jan-2021","EQ","260.00","277.50","258.85","258.65","274.40","274.90","271.49","277.50","63.50",205145151,"55,695,362,793.25",828086
"19-Jan-2021","EQ","251.50","261.70","251.30","245.95","258.75","258.65","256.26","264.65","63.50",136861059,"35,072,393,058.90",522685
"18-Jan-2021","EQ","261.65","262.45","241.15","260.30","244.50","245.95","249.46","264.65","63.50",173383224,"43,251,333,303.50",651158
"15-Jan-2021","EQ","246.00","264.65","242.60","245.10","261.60","260.30","255.48","264.65","63.50",250038029,"63,879,688,196.45",907714
"14-Jan-2021","EQ","242.85","249.80","238.60","242.60","245.25","245.10","244.21","252.40","63.50",86819519,"21,202,397,636.60",379083
"13-Jan-2021","EQ","242.90","248.80","238.40","237.80","242.85","242.60","243.45","252.40","63.50",164649387,"40,084,035,851.50",612651
"12-Jan-2021","EQ","227.00","252.40","224.10","220.65","237.25","237.80","238.18","252.40","63.50",390577839,"93,029,495,460.45",1303825
"11-Jan-2021","EQ","199.90","225.40","199.65","198.15","223.20","220.65","211.45","225.40","63.50",182483100,"38,585,523,226.80",635889
"08-Jan-2021","EQ","198.75","201.50","197.10","196.75","197.85","198.15","199.44","201.70","63.50",53991568,"10,768,126,835.90",191216
"07-Jan-2021","EQ","197.00","200.35","195.10","195.40","196.50","196.75","198.02","201.70","63.50",66024848,"13,073,913,349.50",232249
"06-Jan-2021","EQ","194.45","197.60","190.65","193.20","194.90","195.40","194.82","201.70","63.50",75621947,"14,732,365,582.35",302100
"05-Jan-2021","EQ","187.10","193.90","185.05","191.30","193.00","193.20","188.96","201.70","63.50",75752593,"14,313,931,037.85",299902
"04-Jan-2021","EQ","191.80","193.00","188.75","186.50","191.15","191.30","191.13","201.70","63.50",63980597,"12,228,765,285.55",253278
"01-Jan-2021","EQ","184.95","187.00","184.50","183.85","186.55","186.50","185.68","201.70","63.50",27334421,"5,075,365,028.55",110094
"31-Dec-2020","EQ","184.85","187.50","182.80","184.15","183.50","183.85","185.33","201.70","63.50",48978310,"9,077,220,422.90",182333
"30-Dec-2020","EQ","183.10","185.40","180.40","183.45","184.85","184.15","182.49","201.70","63.50",38576159,"7,039,750,093.50",140846
"29-Dec-2020","EQ","187.90","188.45","181.10","186.35","183.50","183.45","184.51","201.70","63.50",71318085,"13,159,122,342.40",288808
"28-Dec-2020","EQ","179.85","187.40","179.00","175.95","186.00","186.35","184.40","201.70","63.50",98012135,"18,073,634,113.15",356065
"24-Dec-2020","EQ","172.00","178.00","172.00","169.20","175.80","175.95","175.59","201.70","63.50",73831319,"12,963,747,737.15",254698
"23-Dec-2020","EQ","165.00","169.70","163.40","164.95","169.50","169.20","166.94","201.70","63.50",56930071,"9,503,742,280.20",197114
"22-Dec-2020","EQ","164.55","169.20","156.70","164.55","165.05","164.95","161.45","201.70","63.50",110009846,"17,761,321,437.50",407075
"21-Dec-2020","EQ","176.00","177.55","162.50","180.55","163.50","164.55","170.86","201.70","63.50",75582907,"12,914,314,394.40",332579
"18-Dec-2020","EQ","180.90","181.50","176.65","181.70","180.40","180.55","179.59","201.70","63.50",46065197,"8,272,922,292.35",142599
